2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists eBooks, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Current Issue, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Archives, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists ePub Ahead-of-Print, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Podcasts, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Multimedia, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Videos, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Multimedia, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists How to Try This Videos, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Multimedia, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists New Look at the Old Videos, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Multimedia, its XPath: //a[contains(text(), '***')]
